Date,Capacidad Útil Volumen m3,Volumen Máximo Técnico Energía kWh,Capacidad Útil Energía kWh,Volumen Útil Diario m3,Volumen Útil Diario Energía kWh,Vertimientos Volumen m3,Vertimientos Energía kWh
4/25/2000,29979333.33,2483278118,2483278118,14835400,1228860688,99999,99999
4/26/2000,29979333.33,2483278118,2483278118,14835400,1228860688,99999,99999
4/27/2000,29979333.33,2483278118,2483278118,14835400,1228860688,99999,99999
4/28/2000,29979333.33,2483278118,2483278118,14835400,1228860688,99999,99999
4/29/2000,29979333.33,2483278118,2483278118,14835400,1228860688,99999,99999
4/30/2000,29979333.33,2483278118,2483278118,14835400,1228860688,99999,99999
5/1/2000,29012258.06,2483278118,2483278118,20590903.23,1762459830,99999,99999
5/2/2000,29012258.06,2483278118,2483278118,20590903.23,1762459830,99999,99999
5/3/2000,29012258.06,2483278118,2483278118,20590903.23,1762459830,99999,99999
5/4/2000,29012258.06,2483278118,2483278118,20590903.23,1762459830,99999,99999
5/5/2000,29012258.06,2483278118,2483278118,20590903.23,1762459830,99999,99999
5/6/2000,29012258.06,2483278118,2483278118,20590903.23,1762459830,99999,99999
5/7/2000,29012258.06,2483278118,2483278118,20590903.23,1762459830,99999,99999
5/8/2000,29012258.06,2483278118,2483278118,20590903.23,1762459830,99999,99999
5/9/2000,29012258.06,2483278118,2483278118,20590903.23,1762459830,99999,99999
5/10/2000,29012258.06,2483278118,2483278118,20590903.23,1762459830,99999,99999
5/11/2000,29012258.06,2483278118,2483278118,20590903.23,1762459830,99999,99999
5/12/2000,29012258.06,2483278118,2483278118,20590903.23,1762459830,99999,99999
5/13/2000,29012258.06,2483278118,2483278118,20590903.23,1762459830,99999,99999
5/14/2000,29012258.06,2483278118,2483278118,20590903.23,1762459830,99999,99999
5/15/2000,29012258.06,2483278118,2483278118,20590903.23,1762459830,99999,99999
5/16/2000,29012258.06,2483278118,2483278118,20590903.23,1762459830,99999,99999
5/17/2000,29012258.06,2483278118,2483278118,20590903.23,1762459830,99999,99999
5/18/2000,29012258.06,2483278118,2483278118,20590903.23,1762459830,99999,99999
5/19/2000,29012258.06,2483278118,2483278118,20590903.23,1762459830,99999,99999
5/20/2000,29012258.06,2483278118,2483278118,20590903.23,1762459830,99999,99999
5/21/2000,29012258.06,2483278118,2483278118,20590903.23,1762459830,99999,99999
5/22/2000,29012258.06,2483278118,2483278118,20590903.23,1762459830,99999,99999
5/23/2000,29012258.06,2483278118,2483278118,20590903.23,1762459830,99999,99999
5/24/2000,29012258.06,2483278118,2483278118,20590903.23,1762459830,99999,99999
5/25/2000,29012258.06,2483278118,2483278118,20590903.23,1762459830,99999,99999
5/26/2000,29012258.06,2483278118,2483278118,20590903.23,1762459830,99999,99999
5/27/2000,29012258.06,2483278118,2483278118,20590903.23,1762459830,99999,99999
5/28/2000,29012258.06,2483278118,2483278118,20590903.23,1762459830,99999,99999
5/29/2000,29012258.06,2483278118,2483278118,20590903.23,1762459830,99999,99999
5/30/2000,29012258.06,2483278118,2483278118,20590903.23,1762459830,99999,99999
5/31/2000,29012258.06,2483278118,2483278118,20590903.23,1762459830,99999,99999
6/1/2000,29979333.33,2483278118,2483278118,25110400,2079969763,99999,99999
6/2/2000,29979333.33,2483278118,2483278118,25110400,2079969763,99999,99999
6/3/2000,29979333.33,2483278118,2483278118,25110400,2079969763,99999,99999
6/4/2000,29979333.33,2483278118,2483278118,25110400,2079969763,99999,99999
6/5/2000,29979333.33,2483278118,2483278118,25110400,2079969763,99999,99999
6/6/2000,29979333.33,2483278118,2483278118,25110400,2079969763,99999,99999
6/7/2000,29979333.33,2483278118,2483278118,25110400,2079969763,99999,99999
6/8/2000,29979333.33,2483278118,2483278118,25110400,2079969763,99999,99999
6/9/2000,29979333.33,2483278118,2483278118,25110400,2079969763,99999,99999
6/10/2000,29979333.33,2483278118,2483278118,25110400,2079969763,99999,99999
6/11/2000,29979333.33,2483278118,2483278118,25110400,2079969763,99999,99999
6/12/2000,29979333.33,2483278118,2483278118,25110400,2079969763,99999,99999
6/13/2000,29979333.33,2483278118,2483278118,25110400,2079969763,99999,99999
6/14/2000,29979333.33,2483278118,2483278118,25110400,2079969763,99999,99999
6/15/2000,29979333.33,2483278118,2483278118,25110400,2079969763,99999,99999
6/16/2000,29979333.33,2483278118,2483278118,25110400,2079969763,99999,99999
6/17/2000,29979333.33,2483278118,2483278118,25110400,2079969763,99999,99999
6/18/2000,29979333.33,2483278118,2483278118,25110400,2079969763,99999,99999
6/19/2000,29979333.33,2483278118,2483278118,25110400,2079969763,99999,99999
6/20/2000,29979333.33,2483278118,2483278118,25110400,2079969763,99999,99999
6/21/2000,29979333.33,2483278118,2483278118,25110400,2079969763,99999,99999
6/22/2000,29979333.33,2483278118,2483278118,25110400,2079969763,99999,99999
6/23/2000,29979333.33,2483278118,2483278118,25110400,2079969763,99999,99999
6/24/2000,29979333.33,2483278118,2483278118,25110400,2079969763,39340666.67,3258718.556
6/25/2000,29979333.33,2483278118,2483278118,25110400,2079969763,524736000,43465632
6/26/2000,29979333.33,2483278118,2483278118,25110400,2079969763,500832000,41485584
6/27/2000,29979333.33,2483278118,2483278118,25110400,2079969763,307008000,25430496
6/28/2000,29979333.33,2483278118,2483278118,25110400,2079969763,318816000,26408592
6/29/2000,29979333.33,2483278118,2483278118,25110400,2079969763,290880000,24094560
6/30/2000,29979333.33,2483278118,2483278118,25110400,2079969763,133372666.7,11047702.56
7/1/2000,29012258.06,2483278118,2483278118,25229354.84,2159483921,128429354.8,10992839.28
7/2/2000,29012258.06,2483278118,2483278118,25229354.84,2159483921,156467741.9,13392769.44
7/3/2000,29012258.06,2483278118,2483278118,25229354.84,2159483921,99999,99999
7/4/2000,29012258.06,2483278118,2483278118,25229354.84,2159483921,99999,99999
7/5/2000,29012258.06,2483278118,2483278118,25229354.84,2159483921,99999,99999
7/6/2000,29012258.06,2483278118,2483278118,25229354.84,2159483921,284005161.3,24309264
7/7/2000,29012258.06,2483278118,2483278118,25229354.84,2159483921,307138064.5,26289312
7/8/2000,29012258.06,2483278118,2483278118,25229354.84,2159483921,208920645.2,17882446.56
7/9/2000,29012258.06,2483278118,2483278118,25229354.84,2159483921,89047741.94,7621992
7/10/2000,29012258.06,2483278118,2483278118,25229354.84,2159483921,99999,99999
7/11/2000,29012258.06,2483278118,2483278118,25229354.84,2159483921,99999,99999
7/12/2000,29012258.06,2483278118,2483278118,25229354.84,2159483921,99999,99999
7/13/2000,29012258.06,2483278118,2483278118,25229354.84,2159483921,99999,99999
7/14/2000,29012258.06,2483278118,2483278118,25229354.84,2159483921,253486451.6,21697032
7/15/2000,29012258.06,2483278118,2483278118,25229354.84,2159483921,137626774.2,11780087.28
7/16/2000,29012258.06,2483278118,2483278118,25229354.84,2159483921,174667419.4,14950560.72
7/17/2000,29012258.06,2483278118,2483278118,25229354.84,2159483921,230604516.1,19738465.44
7/18/2000,29012258.06,2483278118,2483278118,25229354.84,2159483921,99999,99999
7/19/2000,29012258.06,2483278118,2483278118,25229354.84,2159483921,95959677.42,8213615.278
7/20/2000,29012258.06,2483278118,2483278118,25229354.84,2159483921,102843871,8802864
7/21/2000,29012258.06,2483278118,2483278118,25229354.84,2159483921,155910322.6,13345057.44
7/22/2000,29012258.06,2483278118,2483278118,25229354.84,2159483921,76227096.77,6524616
7/23/2000,29012258.06,2483278118,2483278118,25229354.84,2159483921,93841612.9,8032320.722
7/24/2000,29012258.06,2483278118,2483278118,25229354.84,2159483921,99999,99999
7/25/2000,29012258.06,2483278118,2483278118,25229354.84,2159483921,189160322.6,16191072.72
7/26/2000,29012258.06,2483278118,2483278118,25229354.84,2159483921,160787741.9,13762537.44
7/27/2000,29012258.06,2483278118,2483278118,25229354.84,2159483921,459313548.4,39314688
7/28/2000,29012258.06,2483278118,2483278118,25229354.84,2159483921,251451935.5,21522888.72
7/29/2000,29012258.06,2483278118,2483278118,25229354.84,2159483921,196016451.6,16777919.28
7/30/2000,29012258.06,2483278118,2483278118,25229354.84,2159483921,199444516.1,17071342.56
7/31/2000,29012258.06,2483278118,2483278118,25229354.84,2159483921,23188709.68,1984824.722
8/1/2000,29012258.06,2483278118,2483278118,25650548.39,2195535604,99999,99999
8/2/2000,29012258.06,2483278118,2483278118,25650548.39,2195535604,99999,99999
8/3/2000,29012258.06,2483278118,2483278118,25650548.39,2195535604,99999,99999
8/4/2000,29012258.06,2483278118,2483278118,25650548.39,2195535604,380717419.4,32587296
8/5/2000,29012258.06,2483278118,2483278118,25650548.39,2195535604,148357096.8,12698543.28
8/6/2000,29012258.06,2483278118,2483278118,25650548.39,2195535604,199138064.5,17045112
8/7/2000,29012258.06,2483278118,2483278118,25650548.39,2195535604,265025161.3,22684681.44
8/8/2000,29012258.06,2483278118,2483278118,25650548.39,2195535604,99999,99999
8/9/2000,29012258.06,2483278118,2483278118,25650548.39,2195535604,99999,99999
8/10/2000,29012258.06,2483278118,2483278118,25650548.39,2195535604,194567096.8,16653862.56
8/11/2000,29012258.06,2483278118,2483278118,25650548.39,2195535604,506415483.9,43346352
8/12/2000,29012258.06,2483278118,2483278118,25650548.39,2195535604,109059032.3,9334847.278
8/13/2000,29012258.06,2483278118,2483278118,25650548.39,2195535604,362043871,30988944
8/14/2000,29012258.06,2483278118,2483278118,25650548.39,2195535604,99999,99999
8/15/2000,29012258.06,2483278118,2483278118,25650548.39,2195535604,99999,99999
8/16/2000,29012258.06,2483278118,2483278118,25650548.39,2195535604,70067741.94,5997409.444
8/17/2000,29012258.06,2483278118,2483278118,25650548.39,2195535604,147743871,12646054.56
8/18/2000,29012258.06,2483278118,2483278118,25650548.39,2195535604,326369032.3,27935376
8/19/2000,29012258.06,2483278118,2483278118,25650548.39,2195535604,99999,99999
8/20/2000,29012258.06,2483278118,2483278118,25650548.39,2195535604,244066129,20890704.72
8/21/2000,29012258.06,2483278118,2483278118,25650548.39,2195535604,90915161.29,7781832.722
8/22/2000,29012258.06,2483278118,2483278118,25650548.39,2195535604,99999,99999
8/23/2000,29012258.06,2483278118,2483278118,25650548.39,2195535604,99999,99999
8/24/2000,29012258.06,2483278118,2483278118,25650548.39,2195535604,99999,99999
8/25/2000,29012258.06,2483278118,2483278118,25650548.39,2195535604,179349677.4,15351336
8/26/2000,29012258.06,2483278118,2483278118,25650548.39,2195535604,99999,99999
8/27/2000,29012258.06,2483278118,2483278118,25650548.39,2195535604,108278709.7,9268056
8/28/2000,29012258.06,2483278118,2483278118,25650548.39,2195535604,163323871,13979616
8/29/2000,29012258.06,2483278118,2483278118,25650548.39,2195535604,265415161.3,22718063.28
8/30/2000,29012258.06,2483278118,2483278118,25650548.39,2195535604,141751612.9,12133150.56
8/31/2000,29012258.06,2483278118,2483278118,25650548.39,2195535604,554632258.1,47473440
9/1/2000,29979333.33,2483278118,2483278118,26239533.33,2173499265,564768000,46781616
9/2/2000,29979333.33,2483278118,2483278118,26239533.33,2173499265,122284666.7,10129246.56
9/3/2000,29979333.33,2483278118,2483278118,26239533.33,2173499265,99475333.33,8239873.444
9/4/2000,29979333.33,2483278118,2483278118,26239533.33,2173499265,72201666.67,5980704.722
9/5/2000,29979333.33,2483278118,2483278118,26239533.33,2173499265,99999,99999
9/6/2000,29979333.33,2483278118,2483278118,26239533.33,2173499265,99999,99999
9/7/2000,29979333.33,2483278118,2483278118,26239533.33,2173499265,99999,99999
9/8/2000,29979333.33,2483278118,2483278118,26239533.33,2173499265,99999,99999
9/9/2000,29979333.33,2483278118,2483278118,26239533.33,2173499265,99999,99999
9/10/2000,29979333.33,2483278118,2483278118,26239533.33,2173499265,577152000,47807424
9/11/2000,29979333.33,2483278118,2483278118,26239533.33,2173499265,234547333.3,19428337.44
9/12/2000,29979333.33,2483278118,2483278118,26239533.33,2173499265,125913666.7,10429848.72
9/13/2000,29979333.33,2483278118,2483278118,26239533.33,2173499265,63475333.33,5257873.444
9/14/2000,29979333.33,2483278118,2483278118,26239533.33,2173499265,42307333.33,3504457.444
9/15/2000,29979333.33,2483278118,2483278118,26239533.33,2173499265,99999,99999
9/16/2000,29979333.33,2483278118,2483278118,26239533.33,2173499265,31190333.33,2583599.278
9/17/2000,29979333.33,2483278118,2483278118,26239533.33,2173499265,102758333.3,8511815.278
9/18/2000,29979333.33,2483278118,2483278118,26239533.33,2173499265,23414333.33,1939487.278
9/19/2000,29979333.33,2483278118,2483278118,26239533.33,2173499265,130636666.7,10821070.56
9/20/2000,29979333.33,2483278118,2483278118,26239533.33,2173499265,49449666.67,4096080.722
9/21/2000,29979333.33,2483278118,2483278118,26239533.33,2173499265,37209666.67,3082200.722
9/22/2000,29979333.33,2483278118,2483278118,26239533.33,2173499265,24825666.67,2056392.722
9/23/2000,29979333.33,2483278118,2483278118,26239533.33,2173499265,32544000,2695728
9/24/2000,29979333.33,2483278118,2483278118,26239533.33,2173499265,220809666.7,18290400.72
9/25/2000,29979333.33,2483278118,2483278118,26239533.33,2173499265,19900666.67,1648438.556
9/26/2000,29979333.33,2483278118,2483278118,26239533.33,2173499265,99999,99999
9/27/2000,29979333.33,2483278118,2483278118,26239533.33,2173499265,231120000,19144440
9/28/2000,29979333.33,2483278118,2483278118,26239533.33,2173499265,111542333.3,9239423.278
9/29/2000,29979333.33,2483278118,2483278118,26239533.33,2173499265,62956666.67,5214910.556
9/30/2000,29979333.33,2483278118,2483278118,26239533.33,2173499265,251424000,20826288
10/1/2000,29012258.06,2483278118,2483278118,25441064.52,2177605020,284283871,24333120
10/2/2000,29012258.06,2483278118,2483278118,25441064.52,2177605020,99999,99999
10/3/2000,29012258.06,2483278118,2483278118,25441064.52,2177605020,99999,99999
10/4/2000,29012258.06,2483278118,2483278118,25441064.52,2177605020,99999,99999
10/5/2000,29012258.06,2483278118,2483278118,25441064.52,2177605020,99999,99999
10/6/2000,29012258.06,2483278118,2483278118,25441064.52,2177605020,99999,99999
10/7/2000,29012258.06,2483278118,2483278118,25441064.52,2177605020,107832903.2,9229897.444
10/8/2000,29012258.06,2483278118,2483278118,25441064.52,2177605020,319680000,27362832
10/9/2000,29012258.06,2483278118,2483278118,25441064.52,2177605020,111483871,9542400
10/10/2000,29012258.06,2483278118,2483278118,25441064.52,2177605020,94399032.26,8080032.722
10/11/2000,29012258.06,2483278118,2483278118,25441064.52,2177605020,76923870.97,6584256
10/12/2000,29012258.06,2483278118,2483278118,25441064.52,2177605020,48885806.45,4184353.444
10/13/2000,29012258.06,2483278118,2483278118,25441064.52,2177605020,40245806.45,3444817.444
10/14/2000,29012258.06,2483278118,2483278118,25441064.52,2177605020,99999,99999
10/15/2000,29012258.06,2483278118,2483278118,25441064.52,2177605020,107024516.1,9160704
10/16/2000,29012258.06,2483278118,2483278118,25441064.52,2177605020,60396451.61,5169600.722
10/17/2000,29012258.06,2483278118,2483278118,25441064.52,2177605020,99999,99999
10/18/2000,29012258.06,2483278118,2483278118,25441064.52,2177605020,99999,99999
10/19/2000,29012258.06,2483278118,2483278118,25441064.52,2177605020,99999,99999
10/20/2000,29012258.06,2483278118,2483278118,25441064.52,2177605020,99999,99999
10/21/2000,29012258.06,2483278118,2483278118,25441064.52,2177605020,99999,99999
10/22/2000,29012258.06,2483278118,2483278118,25441064.52,2177605020,99999,99999
10/23/2000,29012258.06,2483278118,2483278118,25441064.52,2177605020,99999,99999
10/24/2000,29012258.06,2483278118,2483278118,25441064.52,2177605020,99999,99999
10/25/2000,29012258.06,2483278118,2483278118,25441064.52,2177605020,99999,99999
10/26/2000,29012258.06,2483278118,2483278118,25441064.52,2177605020,36984838.71,3165696.722
10/27/2000,29012258.06,2483278118,2483278118,25441064.52,2177605020,101394516.1,8678807.278
10/28/2000,29012258.06,2483278118,2483278118,25441064.52,2177605020,75223870.97,6438745.444
10/29/2000,29012258.06,2483278118,2483278118,25441064.52,2177605020,146127419.4,12507695.28
10/30/2000,29012258.06,2483278118,2483278118,25441064.52,2177605020,7999032.258,684672.7222
10/31/2000,29012258.06,2483278118,2483278118,25441064.52,2177605020,52090967.74,4458697.444
11/1/2000,29979333.33,2483278118,2483278118,26230633.33,2172762051,499392000,41366304
11/2/2000,29979333.33,2483278118,2483278118,26230633.33,2172762051,92044666.67,7624366.556
11/3/2000,29979333.33,2483278118,2483278118,26230633.33,2172762051,96480000,7991760
11/4/2000,29979333.33,2483278118,2483278118,26230633.33,2172762051,99999,99999
11/5/2000,29979333.33,2483278118,2483278118,26230633.33,2172762051,99999,99999
11/6/2000,29979333.33,2483278118,2483278118,26230633.33,2172762051,99999,99999
11/7/2000,29979333.33,2483278118,2483278118,26230633.33,2172762051,99999,99999
11/8/2000,29979333.33,2483278118,2483278118,26230633.33,2172762051,99999,99999
11/9/2000,29979333.33,2483278118,2483278118,26230633.33,2172762051,99999,99999
11/10/2000,29979333.33,2483278118,2483278118,26230633.33,2172762051,99999,99999
11/11/2000,29979333.33,2483278118,2483278118,26230633.33,2172762051,83491333.33,6915865.444
11/12/2000,29979333.33,2483278118,2483278118,26230633.33,2172762051,129600000,10735200
11/13/2000,29979333.33,2483278118,2483278118,26230633.33,2172762051,99999,99999
11/14/2000,29979333.33,2483278118,2483278118,26230633.33,2172762051,73843333.33,6116689.444
11/15/2000,29979333.33,2483278118,2483278118,26230633.33,2172762051,30988666.67,2566894.556
11/16/2000,29979333.33,2483278118,2483278118,26230633.33,2172762051,99999,99999
11/17/2000,29979333.33,2483278118,2483278118,26230633.33,2172762051,233625666.7,19351992.72
11/18/2000,29979333.33,2483278118,2483278118,26230633.33,2172762051,562464000,46590768
11/19/2000,29979333.33,2483278118,2483278118,26230633.33,2172762051,497952000,41247024
11/20/2000,29979333.33,2483278118,2483278118,26230633.33,2172762051,99999,99999
11/21/2000,29979333.33,2483278118,2483278118,26230633.33,2172762051,26726333.33,2213831.278
11/22/2000,29979333.33,2483278118,2483278118,26230633.33,2172762051,23097666.67,1913256.722
11/23/2000,29979333.33,2483278118,2483278118,26230633.33,2172762051,99999,99999
11/24/2000,29979333.33,2483278118,2483278118,26230633.33,2172762051,99999,99999
11/25/2000,29979333.33,2483278118,2483278118,26230633.33,2172762051,165196666.7,13683790.56
11/26/2000,29979333.33,2483278118,2483278118,26230633.33,2172762051,99999,99999
11/27/2000,29979333.33,2483278118,2483278118,26230633.33,2172762051,99999,99999
11/28/2000,29979333.33,2483278118,2483278118,26230633.33,2172762051,99999,99999
11/29/2000,29979333.33,2483278118,2483278118,26230633.33,2172762051,99999,99999
11/30/2000,29979333.33,2483278118,2483278118,26230633.33,2172762051,99999,99999
